Pop,Sex,SVL,TD,OD,HW,HD,HL,HdL,FbL,FtL,HbL,LbS,DS,PoPV,SL,IL,SlF3,SlT4,NS,CS
Palawan,m,96.88,2.93,7.23,13.2,11.6,25.38,17.59,48.24,33.69,80.87,49,42,7,9,9,27,33,9,6
Palawan,f,96.91,2.98,7.91,15.22,12.12,27.04,18.1,49.3,35.12,85.17,49,33,8,9,10,26,32,10,5
Palawan,m,97.93,3.18,7.31,13.66,12.71,27.41,17.78,49.18,35.42,85.76,50,35,7,9,10,27,35,8,6
Palawan,m,99.26,3.35,7.23,13.76,11.11,26.66,19.44,53.23,37.11,84.69,56,42,7,9,9,28,35,10,6
Palawan,f,99.35,3.38,8.09,16.4,13.25,28.37,16.41,47.1,33,78.76,53,32,7,9,8,26,31,9,6
Palawan,f,102.64,3.62,8.12,17.05,13.67,30.66,17.96,49.24,36.86,87.94,55,32,7,10,11,29,34,8,5
Palawan,m,103.02,3.5,8.37,14.3,13.76,28.47,18.63,52.24,33.77,88.34,48,36,6,10,9,25,29,9,6
Palawan,m,103.6,3.43,7.88,14.44,12.35,28.2,18.38,51.31,36.13,92.8,47,36,5,9,9,25,30,11,6
Palawan,m,104.35,3.56,8.37,16.34,13.56,28.99,18.12,50.06,36.26,86.03,59,35,7,8,8,29,36,10,6
Palawan,m,105.17,3.23,8.27,16.21,13.83,31.79,18.26,52.3,36.01,84,57,32,7,10,11,25,32,10,6
Palawan,m,106.74,3,8.08,16.05,13.74,30.32,18.97,51.33,36.48,87.2,48,34,7,9,9,25,31,10,6
Palawan,m,106.99,3.44,8.23,17.69,13.64,30.37,18.72,50.93,35.63,87.93,53,34,6,10,8,25,31,10,6
Palawan,m,109.35,3.6,8.77,15.38,13.2,30,18.71,49.58,33.64,87.5,50,36,5,9,9,29,35,8,5
Palawan,m,110.29,3.79,8.06,18.42,13.04,32.57,18.41,59.19,37.49,93.29,56,33,7,8,8,28,35,9,6
Palawan,m,111.87,3.57,8.46,17.43,13.7,30.37,18.67,56.35,31.43,90.87,51,34,6,8,8,24,28,8,5
Luzon,m,105.1,4.13,9.73,16.47,13.92,30.55,20.43,64.42,37.62,94.54,61,36,3,10,9,30,35,10,7
